Date,District,Rainfall_Today_mm,Cumulative_7Day_mm,Slope_Angle,Elevation_m,Disaster_Occurred,Intensity_Score
2021-01-31,Nuwara Eliya,4.24,47.55,42.78,1801.59,0,0.09
2022-08-15,Badulla,5.02,20.23,41.06,682.71,0,0.08
2020-01-18,Colombo,3.76,22.07,3.63,-2.62,0,0.07
2019-11-18,Badulla,5.03,39.05,42.28,679.83,0,0.07
2021-07-21,Nuwara Eliya,135.26,307.57,45.19,1803.32,1,3.8
2021-12-22,Matara,9.34,36.67,16.65,43.9,0,0.03
2019-12-04,Kegalle,63.74,222.53,40.44,204.41,0,0.01
2018-10-23,Kandy,14.12,28.16,12.04,46.4,0,0.08
2020-11-30,Ratnapura,4.02,4.72,34.91,128.62,0,0.03
2019-01-27,Badulla,65.19,439.68,42.95,686.52,1,4.43
2020-02-19,Kegalle,27.63,57.19,39.51,196.15,0,0.04
2022-04-20,Ratnapura,15.12,26.92,35.65,129.59,0,0.04
2020-03-05,Colombo,4.63,49.42,0.77,6.66,0,0.07
2020-10-17,Nuwara Eliya,4.23,15.67,44.56,1801.79,0,0.01
2022-09-19,Badulla,51.29,207.26,43.0,685.79,0,0.13
2021-09-16,Gampaha,59.33,353.64,2.34,5.69,0,0.0
2020-08-30,Colombo,19.09,53.72,0.26,2.47,0,0.04
2019-10-26,Matale,9.71,58.3,15.43,39.89,0,0.14
2022-03-14,Galle,2.68,33.16,11.16,49.87,0,0.08
2022-05-09,Galle,6.85,31.32,15.96,48.7,0,0.15
2021-12-10,Galle,6.78,25.17,17.29,53.76,0,0.09
2018-07-17,Kalutara,45.09,54.42,10.24,15.38,0,0.01
2019-10-22,Matale,13.26,18.07,16.44,45.24,0,0.14
2023-05-14,Galle,64.65,242.04,13.43,48.39,0,0.1
2018-12-12,Colombo,139.67,407.16,-1.42,5.59,1,4.03
2020-10-11,Colombo,15.0,35.23,3.93,-0.32,0,0.13
2019-09-20,Matale,11.64,60.32,16.71,58.94,0,0.04
2020-05-27,Kegalle,129.88,235.31,34.24,195.98,0,0.07
2020-03-26,Nuwara Eliya,10.21,37.34,47.69,1796.33,0,0.08
2019-04-15,Galle,30.87,76.17,16.08,42.51,0,0.07
2021-07-24,Ratnapura,5.43,19.47,34.47,143.6,0,0.0
2020-12-08,Ratnapura,8.2,45.58,34.98,130.95,0,0.14
2021-10-04,Ratnapura,31.43,46.71,39.24,137.73,0,0.03
2021-03-30,Badulla,22.01,50.51,42.43,673.77,0,0.01
2021-08-04,Kalutara,8.75,51.18,9.39,11.25,0,0.02
2018-09-03,Galle,41.53,87.2,16.81,46.98,0,0.08
2023-01-23,Nuwara Eliya,30.26,74.76,46.14,1805.68,0,0.05
2021-01-20,Kegalle,0.92,28.05,40.33,195.72,0,0.04
2018-11-10,Gampaha,1.09,39.59,2.06,15.44,0,0.03
2018-01-05,Galle,25.36,74.16,19.78,59.22,0,0.08
2022-08-21,Badulla,14.45,15.72,40.68,684.26,0,0.14
2020-03-01,Colombo,19.74,31.73,1.26,5.79,0,0.01
2022-06-13,Matara,18.18,39.96,15.37,52.89,0,0.11
2023-06-10,Gampaha,0.36,2.66,5.53,6.46,0,0.01
2022-11-09,Nuwara Eliya,3.4,35.89,46.4,1803.0,0,0.01
2022-11-17,Kandy,0.12,25.18,14.35,52.62,0,0.08
2019-05-31,Matara,40.35,69.02,15.69,54.63,0,0.02
2020-08-14,Badulla,42.93,53.26,42.89,685.68,0,0.04
2018-01-12,Kegalle,10.26,29.53,40.22,197.85,0,0.1
2020-10-18,Kegalle,9.44,56.28,39.94,191.42,0,0.01
2019-12-30,Kandy,13.77,42.56,15.1,52.47,0,0.11
2022-04-21,Kegalle,16.15,28.08,40.98,192.36,0,0.1
2018-10-06,Colombo,6.11,25.6,0.75,-1.71,0,0.04
2020-11-08,Ratnapura,25.14,49.26,34.18,134.92,0,0.07
2018-05-24,Kandy,20.17,67.48,15.4,45.98,0,0.12
2020-11-28,Kandy,6.38,50.76,13.6,49.96,0,0.05
2019-10-20,Colombo,0.85,35.9,3.23,11.79,0,0.01
2020-08-03,Matale,2.22,20.93,14.06,51.16,0,0.06
2019-05-15,Ratnapura,2.18,30.1,33.67,136.8,0,0.06
2023-02-25,Badulla,0.29,3.1,41.96,674.99,0,0.02
2020-04-08,Colombo,2.17,26.06,3.68,10.67,0,0.01
2020-07-17,Kalutara,95.31,292.11,14.72,13.57,1,0.67
2021-05-21,Matale,29.72,38.03,14.66,51.43,0,0.03
2021-03-12,Ratnapura,18.51,32.56,37.4,139.08,0,0.14
2020-08-25,Kalutara,8.12,31.31,16.38,10.96,0,0.05
2021-04-16,Kandy,2.96,37.2,15.68,59.38,0,0.02
2022-05-01,Badulla,13.54,56.85,43.48,687.38,0,0.01
2021-02-16,Matara,109.11,387.35,17.36,47.65,1,2.02
2023-02-21,Matale,15.81,29.48,15.55,51.39,0,0.01
2019-06-02,Ratnapura,61.09,378.93,38.28,131.13,1,4.08
2018-03-24,Ratnapura,2.32,12.68,33.52,126.75,0,0.13
2019-05-03,Kegalle,27.84,66.45,38.34,198.48,0,0.08
2018-09-25,Ratnapura,52.32,192.52,39.12,138.78,0,0.0
2021-05-15,Kandy,5.99,6.71,17.98,54.39,0,0.05
2018-04-08,Kegalle,18.76,44.46,37.63,189.8,0,0.12
2020-10-16,Galle,12.74,54.84,18.81,51.14,0,0.12
2023-02-19,Matara,10.67,39.65,15.26,47.59,0,0.05
2018-04-21,Colombo,4.09,13.09,6.68,-0.51,0,0.1
2018-10-08,Badulla,28.93,40.12,42.09,685.37,0,0.12
2022-01-29,Gampaha,5.78,30.95,2.79,4.82,0,0.1
2021-01-01,Gampaha,2.13,48.18,4.03,16.02,0,0.01
2020-11-15,Nuwara Eliya,1.63,20.16,46.23,1803.79,0,0.07
2019-04-19,Galle,0.51,7.17,18.56,51.26,0,0.1
2020-07-07,Matale,14.83,26.95,13.06,50.4,0,0.04
2019-04-30,Gampaha,0.75,12.41,5.38,11.12,0,0.05
2018-01-25,Nuwara Eliya,16.33,53.17,47.69,1793.46,0,0.08
2023-05-14,Ratnapura,10.29,40.67,30.98,135.34,0,0.04
2018-11-11,Kalutara,0.86,13.16,9.2,17.81,0,0.02
2020-04-22,Matara,32.31,52.2,9.99,53.42,0,0.15
2018-01-04,Kalutara,32.08,68.01,11.98,17.26,0,0.08
2020-11-15,Badulla,27.53,37.51,41.14,682.47,0,0.11
2018-05-20,Ratnapura,21.76,45.82,31.95,133.99,0,0.08
2022-08-24,Kalutara,1.64,17.75,10.28,13.08,0,0.12
2018-11-17,Kandy,12.65,55.19,19.78,46.98,0,0.11
2023-05-24,Kandy,5.0,42.05,15.34,50.45,0,0.09
2023-01-30,Matara,40.18,49.5,16.06,53.48,0,0.04
2018-03-19,Gampaha,7.1,29.7,2.45,13.04,0,0.11
2020-03-10,Badulla,4.62,22.39,43.42,691.04,0,0.06
2023-06-09,Kandy,3.11,34.49,15.47,53.85,0,0.05
2022-01-11,Nuwara Eliya,19.06,58.49,46.02,1806.24,0,0.02
2021-01-25,Kandy,5.72,30.42,14.01,51.94,0,0.11
2021-02-15,Kalutara,15.27,40.38,7.51,18.38,0,0.08
2021-03-26,Nuwara Eliya,8.2,35.33,46.93,1804.87,0,0.04
2018-03-10,Nuwara Eliya,4.96,12.63,41.44,1807.48,0,0.09
2020-08-15,Kegalle,51.42,320.96,39.59,200.23,1,3.85
2020-06-06,Kandy,21.47,42.67,13.42,52.36,0,0.11
2021-08-12,Colombo,3.0,44.95,1.82,8.91,0,0.02
2020-04-04,Ratnapura,7.16,9.9,35.11,135.47,0,0.05
2021-12-30,Colombo,63.1,267.18,3.7,-6.6,0,0.11
2022-04-02,Matale,1.45,17.02,15.94,42.35,0,0.12
2020-09-29,Kalutara,18.1,41.05,10.66,11.72,0,0.08
2018-12-08,Matara,1.74,12.23,20.15,50.3,0,0.13
2018-02-01,Ratnapura,20.8,59.58,34.93,127.28,0,0.07
2018-07-13,Kalutara,20.5,29.6,7.84,8.8,0,0.13
2023-03-10,Badulla,8.26,9.53,39.18,676.11,0,0.02
2021-04-16,Galle,2.01,35.6,14.82,50.15,0,0.0
2020-12-13,Colombo,26.44,31.41,0.95,7.45,0,0.04
2021-01-06,Matara,2.27,39.07,11.61,45.5,0,0.13
2022-07-06,Badulla,55.8,258.34,38.66,688.82,1,2.19
2021-11-10,Badulla,7.83,35.43,38.89,683.03,0,0.07
2020-07-28,Badulla,40.22,41.34,43.94,679.85,0,0.04
2019-07-06,Kegalle,3.75,52.97,37.3,203.72,0,0.08
2021-02-06,Kegalle,20.2,61.68,36.74,202.76,0,0.03
2023-03-13,Kalutara,7.34,16.11,12.51,19.91,0,0.14
2020-07-10,Kandy,1.2,38.1,15.77,38.15,0,0.01
2021-08-08,Badulla,8.52,44.47,40.78,672.97,0,0.04
2021-06-04,Kalutara,69.05,233.53,16.16,13.48,1,0.62
2021-03-17,Badulla,5.49,22.2,40.85,680.61,0,0.12
2022-03-05,Colombo,5.47,27.21,2.36,3.33,0,0.04
2018-05-11,Kegalle,7.94,25.99,41.26,204.86,0,0.01
2020-03-27,Ratnapura,1.64,45.29,34.85,133.1,0,0.11
2019-10-23,Ratnapura,15.13,39.61,37.57,135.31,0,0.03
2023-04-30,Colombo,1.59,47.37,2.86,6.04,0,0.01
2019-09-21,Galle,88.56,330.83,15.89,48.93,1,3.95
2020-07-23,Badulla,0.94,12.44,43.88,677.42,0,0.02
2021-01-26,Badulla,32.25,48.02,39.92,686.39,0,0.08
2021-10-04,Kalutara,17.37,29.02,14.06,7.57,0,0.0
2021-04-08,Kegalle,12.83,30.36,41.43,200.24,0,0.12
2019-04-22,Kandy,2.54,7.12,20.2,46.75,0,0.05
2018-12-06,Kandy,47.9,77.36,11.28,48.5,0,0.04
2020-08-06,Colombo,3.32,43.22,1.51,0.58,0,0.04
2021-11-04,Kalutara,36.21,39.46,13.66,16.04,0,0.06
2023-02-28,Kalutara,6.56,17.58,12.58,27.28,0,0.03
2018-09-16,Matara,86.93,465.25,14.01,49.16,1,4.48
2022-05-16,Matale,29.77,70.56,17.84,47.15,0,0.03
2021-02-17,Colombo,2.4,15.68,5.1,13.98,0,0.02
2022-07-31,Badulla,20.01,40.43,43.09,685.42,0,0.06
2018-11-24,Matale,0.68,34.84,14.93,58.97,0,0.01
2019-08-16,Kegalle,22.44,39.83,33.04,195.65,0,0.1
2023-02-26,Ratnapura,26.86,70.22,35.48,131.53,0,0.11
2018-12-29,Colombo,53.35,292.99,0.14,7.97,0,0.13
2019-03-02,Gampaha,174.77,501.76,1.92,13.19,1,1.53
2023-06-09,Matale,7.52,34.52,15.05,50.45,0,0.12
2021-09-11,Badulla,82.42,372.2,42.5,687.89,1,4.74
2020-09-15,Kalutara,1.76,37.16,12.35,17.04,0,0.01
2023-04-14,Kalutara,0.37,49.05,14.39,7.38,0,0.15
2022-08-27,Matale,132.98,379.58,15.73,47.37,1,3.58
2019-07-24,Galle,146.29,381.7,11.6,47.97,1,1.15
2020-06-05,Matale,7.98,15.53,17.24,56.55,0,0.06
2018-01-21,Kandy,8.01,28.48,12.55,58.3,0,0.13
2022-03-31,Kegalle,15.98,64.39,37.5,207.22,0,0.03
2022-08-08,Kandy,198.57,386.82,14.68,44.07,1,4.15
2019-01-13,Badulla,0.03,30.4,41.68,673.29,0,0.04
2019-06-05,Kalutara,26.35,55.87,10.85,12.68,0,0.06
2020-12-23,Ratnapura,22.91,57.66,34.1,117.88,0,0.13
2018-04-12,Colombo,0.89,50.22,1.95,2.14,0,0.02
2019-08-15,Kalutara,153.15,408.46,15.01,19.39,1,0.85
2023-06-20,Ratnapura,9.72,19.76,34.06,135.38,0,0.1
2018-05-23,Kegalle,75.68,444.55,40.2,198.63,1,3.46
2021-01-01,Galle,68.41,356.0,11.93,54.31,0,0.12
2018-04-21,Matale,6.44,45.63,19.23,48.97,0,0.07
2021-02-24,Colombo,32.26,64.77,1.56,-1.07,0,0.07
2021-06-20,Gampaha,34.09,55.77,2.29,-0.13,0,0.01
2023-01-10,Kegalle,16.99,37.16,41.01,190.01,0,0.03
2023-05-28,Ratnapura,80.96,434.84,34.33,131.76,1,3.59
2020-01-02,Nuwara Eliya,18.04,19.51,51.21,1801.74,0,0.06
2022-10-30,Kegalle,8.51,22.71,42.63,202.2,0,0.05
2022-07-25,Kegalle,3.53,48.98,42.75,203.89,0,0.03
2020-07-28,Kegalle,16.95,60.48,40.65,198.54,0,0.07
2019-05-19,Galle,4.46,52.93,17.3,41.3,0,0.04
2021-06-06,Kandy,3.51,26.2,17.22,46.46,0,0.04
2022-09-27,Kalutara,10.27,31.82,12.15,8.59,0,0.04
2022-09-03,Ratnapura,11.93,29.76,33.52,123.48,0,0.08
2018-11-01,Ratnapura,15.97,42.97,34.06,138.96,0,0.01
2018-11-30,Kegalle,0.42,11.66,39.36,197.74,0,0.03
2020-12-18,Kandy,29.14,53.13,15.38,45.53,0,0.1
2018-05-06,Kegalle,18.44,45.05,36.91,202.52,0,0.02
2022-07-20,Nuwara Eliya,27.98,32.67,43.12,1803.22,0,0.1
2021-10-07,Kalutara,9.44,56.67,11.62,16.09,0,0.1
2018-04-24,Kegalle,6.76,53.31,41.93,201.54,0,0.1
2020-03-11,Ratnapura,4.01,9.33,36.28,124.28,0,0.1
2020-10-06,Kalutara,40.09,44.61,13.6,13.01,0,0.04
2020-08-28,Nuwara Eliya,64.98,435.4,47.45,1803.47,1,4.54
2021-07-26,Badulla,8.81,25.22,41.36,684.74,0,0.09
2019-12-12,Kandy,22.69,44.91,16.75,39.22,0,0.0
2021-07-14,Badulla,35.61,62.73,42.9,674.75,0,0.14
2022-01-13,Kalutara,16.19,43.66,8.74,15.85,0,0.11
2018-12-30,Matale,14.09,17.65,17.64,50.43,0,0.14
2023-01-02,Matale,16.31,24.63,12.57,47.59,0,0.09
2019-01-08,Nuwara Eliya,19.0,23.48,46.04,1801.03,0,0.11
2018-01-02,Ratnapura,49.05,58.28,32.88,130.32,0,0.04
2021-06-18,Gampaha,42.29,68.61,1.35,9.25,0,0.02
2018-05-21,Galle,22.51,54.84,15.49,61.25,0,0.03
2022-07-15,Gampaha,6.76,20.5,2.45,13.76,0,0.12
2020-12-19,Galle,24.44,53.78,13.65,51.39,0,0.03
2019-04-28,Kegalle,1.57,13.08,44.94,190.54,0,0.03
2022-03-27,Gampaha,0.48,14.21,4.47,3.24,0,0.09
2022-08-09,Badulla,166.34,511.95,38.26,670.13,1,3.49
2021-01-30,Gampaha,7.69,37.48,3.34,11.26,0,0.06
2021-10-08,Matale,4.67,38.15,17.32,42.24,0,0.01
2018-06-09,Kandy,28.5,51.34,16.26,42.22,0,0.03
2021-02-27,Galle,134.98,335.05,12.0,43.35,1,2.82
2022-01-05,Nuwara Eliya,35.15,55.62,45.22,1801.89,0,0.06
2018-02-24,Ratnapura,3.19,4.19,30.33,127.5,0,0.11
2021-06-25,Ratnapura,24.43,62.19,35.15,136.14,0,0.02
2020-02-23,Kalutara,10.45,27.77,11.42,12.96,0,0.04
2019-03-25,Matale,22.83,30.92,13.9,54.07,0,0.12
2018-05-23,Kalutara,17.39,44.37,8.01,21.09,0,0.09
2021-03-27,Matara,1.22,42.16,18.55,51.3,0,0.05
2022-08-26,Kegalle,78.85,458.67,39.13,197.28,1,3.39
2018-09-10,Kalutara,3.75,45.21,13.82,7.01,0,0.05
2019-04-28,Colombo,1.04,26.34,3.02,9.99,0,0.03
2021-04-11,Nuwara Eliya,8.19,39.17,43.12,1799.28,0,0.1
2019-04-12,Badulla,1.9,39.62,39.34,681.39,0,0.09
2022-01-26,Colombo,1.94,15.21,-0.46,3.7,0,0.03
2019-02-04,Ratnapura,42.05,57.36,35.32,130.02,0,0.09
2018-05-04,Kalutara,54.42,212.81,9.91,13.96,0,0.06
2018-04-02,Kalutara,153.35,397.75,13.08,18.8,1,0.58
2022-06-03,Kandy,19.16,19.77,13.91,51.96,0,0.04
2021-05-21,Kandy,19.85,62.07,13.01,49.85,0,0.01
2022-12-23,Nuwara Eliya,26.37,57.07,44.22,1802.77,0,0.13
2019-07-08,Kandy,71.54,194.47,15.58,46.35,1,1.62
2018-08-30,Gampaha,43.59,62.91,4.62,6.45,0,0.07
2020-08-02,Ratnapura,4.07,29.68,35.06,126.23,0,0.1
2020-04-24,Matara,0.6,1.2,15.47,47.73,0,0.14
2018-10-04,Matara,3.44,36.51,12.31,45.14,0,0.03
2022-02-23,Gampaha,36.14,37.18,3.57,6.46,0,0.01
2021-05-28,Ratnapura,24.5,34.78,36.99,126.22,0,0.02
2021-11-06,Nuwara Eliya,6.05,54.47,46.28,1806.12,0,0.12
2019-10-14,Matale,6.99,47.57,15.11,51.34,0,0.1
2019-06-07,Gampaha,6.36,27.96,4.11,8.95,0,0.07
2020-09-11,Kegalle,54.49,240.26,39.56,198.62,1,4.3
2022-07-13,Galle,15.43,51.85,16.68,45.93,0,0.12
2018-08-24,Matale,7.84,44.24,17.25,46.0,0,0.02
2018-08-01,Nuwara Eliya,17.62,54.26,43.94,1802.93,0,0.08
2022-09-21,Ratnapura,20.81,64.48,31.2,130.39,0,0.1
2021-02-25,Kandy,0.23,36.56,14.72,43.88,0,0.15
2021-02-01,Badulla,5.71,42.36,44.58,677.89,0,0.09
2020-07-11,Kegalle,196.3,306.89,42.39,196.95,1,4.03
2020-11-03,Colombo,3.17,18.45,1.76,7.1,0,0.13
2021-01-29,Gampaha,32.01,61.66,1.37,-0.47,0,0.06
2022-02-01,Kalutara,39.52,68.93,8.95,21.31,0,0.07
2019-06-10,Badulla,20.61,50.78,42.25,676.56,0,0.1
2019-08-17,Badulla,17.24,20.17,43.56,677.24,0,0.05
2019-06-26,Gampaha,18.21,25.58,4.9,13.41,0,0.05
2021-04-21,Ratnapura,7.29,57.21,34.83,129.39,0,0.14
2023-01-11,Ratnapura,38.5,59.0,38.72,124.62,0,0.13
2018-03-16,Galle,1.63,18.36,18.77,57.72,0,0.0
2022-07-07,Kalutara,8.87,21.84,12.28,6.16,0,0.06
2019-08-04,Kandy,69.26,358.61,9.57,46.0,1,0.7
2021-08-11,Kegalle,0.18,11.44,40.2,200.73,0,0.02
2022-05-12,Nuwara Eliya,1.79,15.9,45.71,1800.61,0,0.04
2018-06-12,Galle,7.93,30.42,14.55,51.84,0,0.12
2022-04-29,Colombo,0.52,7.48,0.95,4.93,0,0.08
2023-05-07,Matale,0.55,48.72,16.47,48.59,0,0.08
2018-07-18,Kandy,7.53,56.6,14.78,46.98,0,0.04
2021-02-28,Galle,15.59,46.01,15.59,43.22,0,0.05
2019-03-01,Ratnapura,2.31,30.37,34.15,127.29,0,0.08
2022-05-16,Kegalle,39.22,69.86,42.02,188.58,0,0.03
2019-09-02,Ratnapura,27.28,32.16,32.81,128.91,0,0.13
2019-03-11,Galle,5.75,28.71,13.58,50.37,0,0.01
2023-01-29,Ratnapura,4.5,42.34,33.71,126.0,0,0.08
2019-01-11,Matara,15.0,53.6,14.28,52.56,0,0.0
2023-04-29,Matara,6.19,11.46,16.77,49.61,0,0.1
2019-08-24,Matale,83.44,340.44,17.62,47.16,1,1.65
2019-04-21,Colombo,12.79,58.55,5.75,10.4,0,0.08
2019-07-08,Nuwara Eliya,23.76,68.62,42.54,1801.06,0,0.03
2019-05-01,Ratnapura,11.3,52.32,34.15,130.45,0,0.05
2020-09-16,Kalutara,9.63,33.9,12.68,12.29,0,0.02
2019-11-01,Kegalle,0.1,26.47,37.62,198.72,0,0.11
2020-07-18,Gampaha,5.19,46.14,3.39,8.23,0,0.08
2018-07-30,Colombo,15.37,40.08,4.63,4.41,0,0.12
2019-04-21,Gampaha,0.73,21.74,2.09,8.49,0,0.14
2018-11-03,Kegalle,7.76,49.83,41.53,206.29,0,0.07
2022-12-12,Matale,28.19,62.51,13.19,51.62,0,0.01
2023-05-13,Kalutara,45.36,77.5,11.2,17.62,0,0.1
2023-04-29,Kalutara,11.52,49.49,10.81,14.04,0,0.14
2021-11-25,Galle,133.49,350.42,15.56,53.73,0,0.06
2018-05-22,Nuwara Eliya,13.31,37.26,43.1,1798.48,0,0.0
2019-02-28,Matara,90.09,399.89,15.78,46.52,1,3.86
2018-06-22,Galle,24.74,56.49,17.01,60.28,0,0.07
2021-02-17,Kalutara,43.51,54.83,8.6,17.64,0,0.11
2018-02-10,Nuwara Eliya,10.4,41.71,44.29,1803.97,0,0.08
2020-12-21,Ratnapura,7.79,36.46,33.88,121.54,0,0.1
2021-08-20,Nuwara Eliya,33.44,35.08,44.87,1792.39,0,0.13
2019-04-27,Matara,19.32,26.2,13.96,51.21,0,0.05
2020-03-30,Kalutara,7.17,19.04,15.22,21.57,0,0.08
2019-06-24,Nuwara Eliya,26.4,56.44,44.49,1787.99,0,0.11
2022-11-28,Matara,2.35,25.97,13.75,50.97,0,0.01
2022-07-30,Badulla,5.46,19.49,41.56,669.66,0,0.03
2019-10-15,Kalutara,2.68,24.61,12.6,16.44,0,0.03
2019-09-10,Matale,42.62,86.62,13.84,54.27,0,0.09
2022-04-24,Matale,21.21,40.7,14.87,47.05,0,0.11
2019-08-07,Matara,28.07,63.99,12.64,54.18,0,0.14
2022-01-16,Matara,1.04,13.87,16.62,52.68,0,0.1
2022-08-24,Nuwara Eliya,13.57,17.12,43.22,1798.47,0,0.01
2019-10-17,Colombo,9.08,38.77,2.34,7.21,0,0.0
2018-07-29,Badulla,51.73,187.89,42.41,683.79,0,0.14
2022-08-29,Badulla,0.29,15.05,39.71,680.54,0,0.07
2023-01-11,Gampaha,42.42,61.79,2.65,2.57,0,0.13
2019-02-24,Badulla,49.47,60.78,42.16,675.98,0,0.06
2018-07-14,Colombo,21.82,51.87,-1.64,1.53,0,0.11
2023-05-07,Matara,14.08,58.58,12.82,47.95,0,0.05
2021-03-17,Badulla,8.1,11.69,42.1,679.19,0,0.06
2020-03-27,Ratnapura,3.63,53.03,36.93,138.08,0,0.07
2021-11-12,Ratnapura,0.22,48.42,34.91,124.27,0,0.06
2021-03-24,Kalutara,4.03,11.38,11.7,18.68,0,0.07
2023-05-16,Kandy,11.74,33.95,14.17,55.35,0,0.15
2018-07-20,Ratnapura,4.11,52.65,35.4,126.11,0,0.12
2020-12-28,Kandy,4.61,46.54,20.27,40.97,0,0.05
2021-10-09,Badulla,9.05,50.58,42.06,673.39,0,0.08
2021-11-09,Matara,12.2,27.22,13.96,52.82,0,0.05
2022-08-15,Gampaha,4.0,39.55,6.44,8.56,0,0.14
2018-03-05,Matale,6.1,12.63,15.51,52.34,0,0.12
2019-04-21,Kandy,16.77,24.21,13.67,54.37,0,0.07
2021-08-20,Nuwara Eliya,11.76,21.92,45.51,1805.23,0,0.11
2019-02-03,Matale,21.53,70.56,10.73,65.69,0,0.06
2023-05-25,Nuwara Eliya,138.82,239.77,44.79,1806.95,1,3.63
2020-01-07,Matara,24.63,25.58,16.19,35.3,0,0.07
2021-10-04,Kalutara,1.15,19.09,13.9,20.51,0,0.12
2022-08-15,Badulla,182.51,532.76,43.91,682.57,1,4.01
2022-04-22,Matara,9.63,29.59,15.36,50.73,0,0.11
